STD_ID,GND,SCR,PRE1,PRE2,PRE3,PRE4,PRE5,PRE6,PRE7,YEAR_INFO
0,남,0.05047,봉명고,청주신흥고,청주대성고,운호고,충북고,상당고,서원고,2023
1,남,0.03538,서원고,청주신흥고,충북고,주성고,운호고,금천고,청석고,2023
2,남,0.00933,봉명고,충북고,흥덕고,금천고,상당고,세광고,주성고,2023
3,남,0.02386,충대사대부고,세광고,서원고,청주대성고,상당고,청주고,봉명고,2023
4,남,0.07066,주성고,충북고,청주신흥고,흥덕고,금천고,서원고,세광고,2023
5,남,0.02903,상당고,충대사대부고,봉명고,주성고,청석고,금천고,청주신흥고,2023
6,남,0.08982,흥덕고,충대사대부고,주성고,청주신흥고,청주고,운호고,충북고,2023
7,남,0.04506,금천고,운호고,상당고,청석고,청주대성고,봉명고,충북고,2023
8,남,0.07315,주성고,청주고,금천고,청석고,상당고,세광고,서원고,2023
9,남,0.00452,충대사대부고,세광고,청주대성고,흥덕고,청주고,금천고,청석고,2023
10,남,0.03701,상당고,서원고,주성고,충북고,세광고,청석고,운호고,2023
11,남,0.06206,주성고,운호고,청주고,세광고,청주신흥고,청석고,충북고,2023
12,남,0.06993,청석고,상당고,청주고,주성고,금천고,청주대성고,청주신흥고,2023
13,남,0.01172,청주신흥고,청주고,청주대성고,충북고,봉명고,금천고,흥덕고,2023
14,남,0.0458,봉명고,청주대성고,충대사대부고,청주고,서원고,충북고,운호고,2023
15,남,0.05903,청주신흥고,주성고,충대사대부고,청주대성고,청석고,서원고,흥덕고,2023
16,남,0.02231,운호고,서원고,청주고,충북고,청석고,흥덕고,금천고,2023
17,남,0.01657,봉명고,흥덕고,상당고,청주고,세광고,운호고,서원고,2023
18,남,0.03121,서원고,청주신흥고,흥덕고,운호고,금천고,주성고,충대사대부고,2023
19,남,0.00143,청주대성고,세광고,충북고,흥덕고,운호고,청주신흥고,충대사대부고,2023
20,남,0.01002,청석고,주성고,운호고,상당고,충북고,세광고,흥덕고,2023
21,남,0.01151,운호고,서원고,청주고,충북고,상당고,청주대성고,충대사대부고,2023
22,남,0.07124,청주고,봉명고,주성고,청주대성고,운호고,흥덕고,청석고,2023
23,남,0.02714,봉명고,충대사대부고,충북고,금천고,청주대성고,세광고,흥덕고,2023
24,남,0.09893,청석고,서원고,세광고,주성고,청주대성고,청주신흥고,상당고,2023
25,남,0.02992,운호고,청주대성고,주성고,흥덕고,청주고,청주신흥고,충북고,2023
26,남,0.03019,상당고,세광고,충대사대부고,청주대성고,주성고,서원고,금천고,2023
27,남,0.00079,충대사대부고,서원고,운호고,세광고,청석고,청주고,금천고,2023
28,남,0.04312,청주신흥고,운호고,흥덕고,봉명고,상당고,금천고,충북고,2023
29,남,0.0997,충북고,세광고,주성고,상당고,흥덕고,청주대성고,청주신흥고,2023
30,남,0.01484,운호고,주성고,금천고,충북고,세광고,청주신흥고,청주고,2023
31,남,0.00097,세광고,금천고,상당고,봉명고,청주대성고,서원고,충북고,2023
32,남,0.07181,청주대성고,청주신흥고,서원고,봉명고,세광고,청석고,주성고,2023
33,남,0.03306,서원고,운호고,세광고,상당고,청주대성고,주성고,흥덕고,2023
34,남,0.0747,봉명고,서원고,충북고,청주고,금천고,청주대성고,세광고,2023
35,남,0.07407,운호고,상당고,금천고,봉명고,충북고,흥덕고,청주신흥고,2023
36,남,0.00623,금천고,청주신흥고,충대사대부고,서원고,충북고,상당고,주성고,2023
37,남,0.06735,흥덕고,청석고,충대사대부고,청주대성고,봉명고,주성고,충북고,2023
38,남,0.00325,봉명고,흥덕고,세광고,청주고,충북고,청주대성고,서원고,2023
39,남,0.06143,충대사대부고,주성고,세광고,금천고,청석고,서원고,흥덕고,2023
40,남,0.04446,흥덕고,주성고,청주고,충북고,금천고,청석고,서원고,2023
41,남,0.07763,주성고,청주신흥고,세광고,청주대성고,충북고,상당고,흥덕고,2023
42,남,0.04156,운호고,상당고,청주대성고,청석고,서원고,봉명고,금천고,2023
43,남,0.00703,운호고,흥덕고,청주대성고,세광고,충북고,서원고,청주신흥고,2023
44,남,0.0208,청주대성고,서원고,세광고,청석고,청주고,봉명고,주성고,2023
45,남,0.0454,흥덕고,상당고,주성고,충북고,청주고,청주대성고,청석고,2023
46,남,0.0184,청주고,청주신흥고,봉명고,충대사대부고,흥덕고,주성고,청주대성고,2023
47,남,0.02367,청주신흥고,금천고,서원고,충북고,운호고,청석고,충대사대부고,2023
48,남,0.05508,충대사대부고,청주고,청주신흥고,봉명고,충북고,청석고,서원고,2023
49,남,0.00084,청주고,흥덕고,청주신흥고,금천고,충대사대부고,서원고,청석고,2023
50,남,0.07957,청주대성고,청주신흥고,청주고,상당고,주성고,봉명고,금천고,2023
51,남,0.06315,금천고,운호고,청주대성고,봉명고,세광고,청주고,흥덕고,2023
52,남,0.05452,충북고,운호고,청주신흥고,주성고,상당고,흥덕고,청주대성고,2023
53,남,0.08837,충대사대부고,청주대성고,운호고,금천고,흥덕고,청주고,세광고,2023
54,남,0.05954,서원고,청주대성고,봉명고,충북고,상당고,운호고,충대사대부고,2023
55,남,0.02827,서원고,상당고,주성고,흥덕고,청주대성고,청석고,청주신흥고,2023
56,남,0.02923,금천고,청석고,흥덕고,주성고,세광고,운호고,충대사대부고,2023
57,남,0.03541,충대사대부고,청석고,금천고,흥덕고,세광고,주성고,서원고,2023
58,남,0.07452,상당고,세광고,봉명고,충대사대부고,금천고,청주고,청주신흥고,2023
59,남,0.00064,충북고,봉명고,상당고,충대사대부고,청주고,세광고,청주신흥고,2023
60,남,0.04609,운호고,청석고,청주신흥고,주성고,상당고,청주고,충대사대부고,2023
61,남,0.09104,세광고,청주고,금천고,청석고,봉명고,청주신흥고,서원고,2023
62,남,0.09058,세광고,금천고,상당고,충대사대부고,청주대성고,봉명고,청주고,2023
63,남,0.06125,청석고,충대사대부고,청주대성고,세광고,충북고,주성고,청주고,2023
64,남,0.04902,충대사대부고,봉명고,상당고,서원고,흥덕고,청주대성고,청주신흥고,2023
65,남,0.01404,청주대성고,흥덕고,청주신흥고,주성고,상당고,봉명고,충대사대부고,2023
66,남,0.07948,운호고,청주고,세광고,금천고,상당고,봉명고,청석고,2023
67,남,0.01878,청주대성고,서원고,청주신흥고,주성고,충북고,상당고,봉명고,2023
68,남,0.09342,청주대성고,운호고,금천고,봉명고,청석고,흥덕고,상당고,2023
69,남,0.02411,흥덕고,상당고,세광고,청주고,운호고,청주대성고,서원고,2023
70,남,0.02497,청주고,충북고,금천고,운호고,세광고,청주대성고,청주신흥고,2023
71,남,0.07775,금천고,흥덕고,청주대성고,청석고,청주고,충대사대부고,충북고,2023
72,남,0.02488,상당고,봉명고,충북고,운호고,청주신흥고,주성고,금천고,2023
73,남,0.01182,흥덕고,봉명고,상당고,서원고,운호고,충대사대부고,청석고,2023
74,남,0.02336,충대사대부고,주성고,청석고,상당고,금천고,봉명고,흥덕고,2023
