STUDENT_ID,GENDER,PREF1,PREF2,PREF3,PREF4,PREF5,PREF6,PREF7
0,남,봉명고,청주신흥고,청주대성고,운호고,충북고,상당고,서원고
1,남,서원고,청주신흥고,충북고,주성고,운호고,금천고,청석고
2,남,봉명고,충북고,흥덕고,금천고,상당고,세광고,주성고
3,남,충대사대부고,세광고,서원고,청주대성고,상당고,청주고,봉명고
4,남,주성고,충북고,청주신흥고,흥덕고,금천고,서원고,세광고
5,남,상당고,충대사대부고,봉명고,주성고,청석고,금천고,청주신흥고
6,남,흥덕고,충대사대부고,주성고,청주신흥고,청주고,운호고,충북고
7,남,금천고,운호고,상당고,청석고,청주대성고,봉명고,충북고
8,남,주성고,청주고,금천고,청석고,상당고,세광고,서원고
9,남,충대사대부고,세광고,청주대성고,흥덕고,청주고,금천고,청석고
10,남,상당고,서원고,주성고,충북고,세광고,청석고,운호고
11,남,주성고,운호고,청주고,세광고,청주신흥고,청석고,충북고
12,남,청석고,상당고,청주고,주성고,금천고,청주대성고,청주신흥고
13,남,청주신흥고,청주고,청주대성고,충북고,봉명고,금천고,흥덕고
14,남,봉명고,청주대성고,충대사대부고,청주고,서원고,충북고,운호고
15,남,청주신흥고,주성고,충대사대부고,청주대성고,청석고,서원고,흥덕고
16,남,운호고,서원고,청주고,충북고,청석고,흥덕고,금천고
17,남,봉명고,흥덕고,상당고,청주고,세광고,운호고,서원고
18,남,서원고,청주신흥고,흥덕고,운호고,금천고,주성고,충대사대부고
19,남,청주대성고,세광고,충북고,흥덕고,운호고,청주신흥고,충대사대부고
20,남,청석고,주성고,운호고,상당고,충북고,세광고,흥덕고
21,남,운호고,서원고,청주고,충북고,상당고,청주대성고,충대사대부고
22,남,청주고,봉명고,주성고,청주대성고,운호고,흥덕고,청석고
23,남,봉명고,충대사대부고,충북고,금천고,청주대성고,세광고,흥덕고
24,남,청석고,서원고,세광고,주성고,청주대성고,청주신흥고,상당고
25,남,운호고,청주대성고,주성고,흥덕고,청주고,청주신흥고,충북고
26,남,상당고,세광고,충대사대부고,청주대성고,주성고,서원고,금천고
27,남,충대사대부고,서원고,운호고,세광고,청석고,청주고,금천고
28,남,청주신흥고,운호고,흥덕고,봉명고,상당고,금천고,충북고
29,남,충북고,세광고,주성고,상당고,흥덕고,청주대성고,청주신흥고
30,남,운호고,주성고,금천고,충북고,세광고,청주신흥고,청주고
31,남,세광고,금천고,상당고,봉명고,청주대성고,서원고,충북고
32,남,청주대성고,청주신흥고,서원고,봉명고,세광고,청석고,주성고
33,남,서원고,운호고,세광고,상당고,청주대성고,주성고,흥덕고
34,남,봉명고,서원고,충북고,청주고,금천고,청주대성고,세광고
35,남,운호고,상당고,금천고,봉명고,충북고,흥덕고,청주신흥고
36,남,금천고,청주신흥고,충대사대부고,서원고,충북고,상당고,주성고
37,남,흥덕고,청석고,충대사대부고,청주대성고,봉명고,주성고,충북고
38,남,봉명고,흥덕고,세광고,청주고,충북고,청주대성고,서원고
39,남,충대사대부고,주성고,세광고,금천고,청석고,서원고,흥덕고
40,남,흥덕고,주성고,청주고,충북고,금천고,청석고,서원고
41,남,주성고,청주신흥고,세광고,청주대성고,충북고,상당고,흥덕고
42,남,운호고,상당고,청주대성고,청석고,서원고,봉명고,금천고
43,남,운호고,흥덕고,청주대성고,세광고,충북고,서원고,청주신흥고
44,남,청주대성고,서원고,세광고,청석고,청주고,봉명고,주성고
45,남,흥덕고,상당고,주성고,충북고,청주고,청주대성고,청석고
46,남,청주고,청주신흥고,봉명고,충대사대부고,흥덕고,주성고,청주대성고
47,남,청주신흥고,금천고,서원고,충북고,운호고,청석고,충대사대부고
48,남,충대사대부고,청주고,청주신흥고,봉명고,충북고,청석고,서원고
49,남,청주고,흥덕고,청주신흥고,금천고,충대사대부고,서원고,청석고
50,남,청주대성고,청주신흥고,청주고,상당고,주성고,봉명고,금천고
51,남,금천고,운호고,청주대성고,봉명고,세광고,청주고,흥덕고
52,남,충북고,운호고,청주신흥고,주성고,상당고,흥덕고,청주대성고
53,남,충대사대부고,청주대성고,운호고,금천고,흥덕고,청주고,세광고
54,남,서원고,청주대성고,봉명고,충북고,상당고,운호고,충대사대부고
55,남,서원고,상당고,주성고,흥덕고,청주대성고,청석고,청주신흥고
56,남,금천고,청석고,흥덕고,주성고,세광고,운호고,충대사대부고
57,남,충대사대부고,청석고,금천고,흥덕고,세광고,주성고,서원고
58,남,상당고,세광고,봉명고,충대사대부고,금천고,청주고,청주신흥고
59,남,충북고,봉명고,상당고,충대사대부고,청주고,세광고,청주신흥고
60,남,운호고,청석고,청주신흥고,주성고,상당고,청주고,충대사대부고
61,남,세광고,청주고,금천고,청석고,봉명고,청주신흥고,서원고
62,남,세광고,금천고,상당고,충대사대부고,청주대성고,봉명고,청주고
63,남,청석고,충대사대부고,청주대성고,세광고,충북고,주성고,청주고
64,남,충대사대부고,봉명고,상당고,서원고,흥덕고,청주대성고,청주신흥고
65,남,청주대성고,흥덕고,청주신흥고,주성고,상당고,봉명고,충대사대부고
66,남,운호고,청주고,세광고,금천고,상당고,봉명고,청석고
67,남,청주대성고,서원고,청주신흥고,주성고,충북고,상당고,봉명고
68,남,청주대성고,운호고,금천고,봉명고,청석고,흥덕고,상당고
69,남,흥덕고,상당고,세광고,청주고,운호고,청주대성고,서원고
70,남,청주고,충북고,금천고,운호고,세광고,청주대성고,청주신흥고
71,남,금천고,흥덕고,청주대성고,청석고,청주고,충대사대부고,충북고
72,남,상당고,봉명고,충북고,운호고,청주신흥고,주성고,금천고
73,남,흥덕고,봉명고,상당고,서원고,운호고,충대사대부고,청석고
74,남,충대사대부고,주성고,청석고,상당고,금천고,봉명고,흥덕고
75,남,봉명고,충대사대부고,서원고,운호고,청주고,주성고,충북고
76,남,운호고,청주신흥고,금천고,청주대성고,세광고,청석고,흥덕고
77,남,충북고,서원고,봉명고,청주고,흥덕고,세광고,금천고
78,남,주성고,흥덕고,세광고,봉명고,충북고,금천고,충대사대부고
79,남,청주고,청석고,충북고,청주신흥고,봉명고,충대사대부고,상당고
80,남,서원고,충북고,청석고,충대사대부고,봉명고,주성고,청주대성고
81,남,청석고,세광고,청주고,청주대성고,상당고,청주신흥고,주성고
82,남,봉명고,충북고,청석고,청주대성고,청주신흥고,서원고,금천고
83,남,서원고,운호고,흥덕고,세광고,봉명고,청석고,충북고
84,남,충대사대부고,운호고,청주대성고,서원고,금천고,세광고,청석고
85,남,충대사대부고,청주신흥고,서원고,봉명고,충북고,상당고,청주고
86,남,청주고,봉명고,서원고,청주신흥고,청주대성고,흥덕고,금천고
87,남,충북고,상당고,봉명고,주성고,청주신흥고,운호고,서원고
88,남,충대사대부고,청석고,봉명고,상당고,운호고,청주고,주성고
89,남,청주신흥고,충북고,세광고,금천고,청석고,봉명고,주성고
90,남,봉명고,상당고,금천고,청주고,청주대성고,서원고,주성고
91,남,세광고,서원고,청주고,봉명고,청주신흥고,주성고,흥덕고
92,남,금천고,충북고,청석고,서원고,주성고,운호고,세광고
93,남,청주대성고,충대사대부고,흥덕고,청석고,서원고,봉명고,상당고
94,남,상당고,흥덕고,청주고,봉명고,청주신흥고,서원고,세광고
95,남,흥덕고,청주고,충북고,세광고,봉명고,주성고,청주대성고
96,남,세광고,상당고,운호고,금천고,충북고,흥덕고,청주고
97,남,청주신흥고,청주고,청석고,상당고,충대사대부고,서원고,금천고
98,남,서원고,청주고,운호고,청주대성고,봉명고,세광고,상당고
99,남,서원고,세광고,충대사대부고,청석고,청주신흥고,주성고,충북고
100,남,충대사대부고,청주대성고,서원고,청석고,청주고,봉명고,충북고
101,남,충북고,청주신흥고,운호고,봉명고,서원고,세광고,주성고
102,남,주성고,금천고,흥덕고,청주대성고,봉명고,충북고,청석고
103,남,충대사대부고,흥덕고,세광고,주성고,서원고,충북고,청석고
104,남,충북고,운호고,서원고,청주대성고,충대사대부고,세광고,주성고
105,남,상당고,세광고,서원고,봉명고,금천고,충북고,충대사대부고
106,남,봉명고,세광고,청석고,청주신흥고,흥덕고,청주고,충북고
107,남,충북고,청주신흥고,충대사대부고,서원고,청주대성고,상당고,청주고
108,남,흥덕고,청석고,충북고,청주고,상당고,청주신흥고,금천고
109,남,상당고,충북고,봉명고,서원고,세광고,주성고,충대사대부고
110,남,청주신흥고,주성고,서원고,청주고,상당고,세광고,청주대성고
111,남,주성고,봉명고,운호고,청석고,금천고,흥덕고,세광고
112,남,청주대성고,금천고,청석고,충북고,청주고,주성고,봉명고
113,남,청주고,세광고,서원고,청석고,운호고,청주신흥고,봉명고
114,남,운호고,흥덕고,청주고,세광고,서원고,금천고,청석고
115,남,충대사대부고,청주대성고,금천고,흥덕고,세광고,청주신흥고,청석고
116,남,운호고,청주대성고,봉명고,상당고,금천고,세광고,청주고
117,남,상당고,봉명고,충북고,충대사대부고,청주고,청주신흥고,주성고
118,남,세광고,금천고,운호고,서원고,상당고,청주신흥고,청주대성고
119,남,주성고,청주신흥고,충대사대부고,금천고,서원고,청석고,충북고
120,남,청주고,청석고,봉명고,상당고,서원고,충대사대부고,흥덕고
121,남,충대사대부고,청석고,충북고,청주고,청주신흥고,서원고,세광고
122,남,세광고,충대사대부고,청석고,운호고,금천고,주성고,봉명고
123,남,청주고,금천고,서원고,청주신흥고,청석고,상당고,흥덕고
124,남,금천고,청석고,봉명고,상당고,청주신흥고,충대사대부고,청주대성고
125,남,충북고,서원고,세광고,흥덕고,청석고,주성고,운호고
126,남,주성고,청주신흥고,세광고,상당고,서원고,청주고,충북고
127,남,운호고,충북고,청주신흥고,금천고,청석고,세광고,주성고
128,남,흥덕고,운호고,충북고,봉명고,세광고,금천고,상당고
129,남,상당고,청석고,청주고,충대사대부고,서원고,세광고,청주신흥고
130,남,서원고,운호고,금천고,상당고,충북고,청주대성고,봉명고
131,남,운호고,충대사대부고,청주대성고,금천고,청주고,서원고,세광고
132,남,서원고,청주고,청석고,충대사대부고,청주대성고,청주신흥고,주성고
133,남,충대사대부고,흥덕고,서원고,세광고,금천고,상당고,주성고
134,남,충대사대부고,봉명고,청주대성고,충북고,상당고,주성고,청주신흥고
135,남,봉명고,금천고,청주대성고,청주고,주성고,충북고,운호고
136,남,금천고,세광고,흥덕고,충대사대부고,청주신흥고,상당고,청주대성고
137,남,금천고,운호고,서원고,청주대성고,주성고,상당고,청주고
138,남,충북고,금천고,봉명고,상당고,세광고,청주대성고,운호고
139,남,상당고,청주대성고,충북고,세광고,충대사대부고,흥덕고,청주고
140,남,주성고,세광고,청주대성고,서원고,청주고,청석고,청주신흥고
141,남,충북고,상당고,운호고,청주고,세광고,금천고,주성고
142,남,청주고,봉명고,운호고,상당고,세광고,청주대성고,청주신흥고
143,남,충북고,서원고,세광고,주성고,충대사대부고,금천고,청주대성고
144,남,봉명고,충북고,충대사대부고,금천고,청주고,세광고,청석고
145,남,금천고,운호고,주성고,서원고,충대사대부고,충북고,세광고
146,남,봉명고,세광고,상당고,흥덕고,금천고,청주대성고,주성고
147,남,금천고,상당고,운호고,충북고,봉명고,청주대성고,청주고
148,남,충북고,충대사대부고,청주신흥고,주성고,금천고,운호고,흥덕고
149,남,충북고,세광고,금천고,청주신흥고,운호고,봉명고,청주고
150,남,청석고,금천고,청주대성고,충북고,세광고,흥덕고,봉명고
151,남,상당고,충북고,세광고,봉명고,청주신흥고,주성고,흥덕고
152,남,충대사대부고,금천고,흥덕고,세광고,상당고,청석고,운호고
153,남,흥덕고,상당고,세광고,봉명고,금천고,서원고,청주대성고
154,남,청주신흥고,상당고,세광고,흥덕고,봉명고,청주대성고,충대사대부고
155,남,충북고,봉명고,주성고,충대사대부고,운호고,청주대성고,서원고
156,남,흥덕고,청주신흥고,상당고,청석고,충북고,청주고,충대사대부고
157,남,청주신흥고,충대사대부고,금천고,상당고,충북고,운호고,청주고
158,남,주성고,흥덕고,청주고,충대사대부고,충북고,서원고,세광고
159,남,서원고,운호고,청석고,세광고,충대사대부고,흥덕고,청주고
160,남,주성고,봉명고,충북고,청석고,흥덕고,세광고,상당고
161,남,청주고,서원고,충대사대부고,청주대성고,흥덕고,금천고,청석고
